payment_id,loan_id,due_date,payment_date,payment_amount,payment_status,penalty_amount
PAY00001,LN2704,2024-01-26,2024-01-23,2485.92,On-time,0.0
PAY00002,LN2704,2024-02-25,2024-03-13,2464.27,Late,192.48
PAY00003,LN2704,2024-03-26,2024-05-04,2502.27,Late,136.3
PAY00004,LN2704,2024-04-25,2024-04-24,2499.22,On-time,0.0
PAY00005,LN0555,2022-02-16,2022-03-30,97945.53,Late,5591.45
PAY00006,LN0555,2022-03-18,2022-03-17,101261.81,On-time,0.0
PAY00007,LN0555,2022-04-17,2022-07-23,99850.3,Default,12486.18
PAY00008,LN0555,2022-05-17,2022-06-02,99205.87,Late,3193.42
PAY00009,LN0555,2022-06-16,2022-06-17,97145.98,On-time,0.0
PAY00010,LN0555,2022-07-16,2022-07-14,98198.35,On-time,0.0
PAY00011,LN1419,2023-12-06,2023-12-06,1766.37,On-time,0.0
PAY00012,LN2447,2021-01-03,2021-01-03,38604.99,On-time,0.0
PAY00013,LN2447,2021-02-02,2021-06-22,37294.94,Default,6026.81
PAY00014,LN2447,2021-03-04,2021-03-05,38767.65,On-time,0.0
PAY00015,LN2447,2021-04-03,2021-03-31,38684.4,On-time,0.0
PAY00016,LN2447,2021-05-03,2021-05-02,37011.64,On-time,0.0
PAY00017,LN2447,2021-06-02,2021-07-16,37876.45,Late,2564.47
PAY00018,LN1076,2019-03-19,2019-04-22,20553.98,Late,616.01
PAY00019,LN1076,2019-04-18,2019-04-15,20409.5,On-time,0.0
PAY00020,LN1076,2019-05-18,2019-05-18,20113.28,On-time,0.0
PAY00021,LN0229,2024-04-12,2024-04-13,10744.74,On-time,0.0
PAY00022,LN0229,2024-05-12,2024-05-14,10827.44,On-time,0.0
PAY00023,LN0229,2024-06-11,2024-06-09,10594.96,On-time,0.0
PAY00024,LN0229,2024-07-11,2024-07-12,10478.23,On-time,0.0
PAY00025,LN3348,2024-11-29,2025-02-12,7451.53,Default,1151.16
PAY00026,LN3348,2024-12-29,2025-04-09,7419.14,Default,889.11
PAY00027,LN3348,2025-01-28,2025-01-25,7642.0,On-time,0.0
PAY00028,LN3348,2025-02-27,2025-02-24,7463.7,On-time,0.0
PAY00029,LN0653,2021-12-31,2021-12-31,20906.38,On-time,0.0
PAY00030,LN0653,2022-01-30,2022-01-31,20177.61,On-time,0.0
PAY00031,LN0653,2022-03-01,2022-03-03,20613.55,On-time,0.0
PAY00032,LN0653,2022-03-31,2022-03-28,20939.8,On-time,0.0
PAY00033,LN0653,2022-04-30,2022-05-14,21051.34,Late,973.87
PAY00034,LN0653,2022-05-30,2022-05-30,20315.2,On-time,0.0
PAY00035,LN3686,2022-09-11,2022-09-12,22828.11,On-time,0.0
PAY00036,LN3686,2022-10-11,2022-10-16,21990.49,Late,558.34
PAY00037,LN3633,2023-11-29,2024-01-06,14478.8,Late,633.65
PAY00038,LN2965,2020-04-24,2020-04-23,63704.7,On-time,0.0
PAY00039,LN2965,2020-05-24,2020-05-22,62498.78,On-time,0.0
PAY00040,LN2965,2020-06-23,2020-06-23,61506.98,On-time,0.0
PAY00041,LN2965,2020-07-23,2020-07-22,63125.04,On-time,0.0
PAY00042,LN2965,2020-08-22,2020-08-21,63510.01,On-time,0.0
PAY00043,LN2985,2019-02-03,2019-07-08,13860.15,Default,2067.15
PAY00044,LN0467,2021-12-27,2022-01-12,16315.88,Late,565.74
PAY00045,LN0186,2023-06-28,2023-06-27,5076.11,On-time,0.0
PAY00046,LN1066,2020-11-08,2020-11-09,76925.49,On-time,0.0
PAY00047,LN3574,2024-10-08,2024-10-07,11152.04,On-time,0.0
PAY00048,LN1778,2024-11-01,2024-12-14,7312.35,Late,377.05
PAY00049,LN1778,2024-12-01,2025-04-06,7333.29,Default,1164.01
PAY00050,LN1778,2024-12-31,2024-12-28,7412.41,On-time,0.0
PAY00051,LN0187,2020-11-17,2020-12-07,7175.67,Late,468.56
PAY00052,LN3098,2023-12-14,2024-01-08,7564.76,Late,324.28
PAY00053,LN3098,2024-01-13,2024-01-20,7477.7,Late,425.99
PAY00054,LN3168,2024-12-02,2024-12-03,48741.11,On-time,0.0
PAY00055,LN2198,2019-07-27,2019-07-25,95484.22,On-time,0.0
PAY00056,LN2198,2019-08-26,2019-08-23,97189.52,On-time,0.0
PAY00057,LN2198,2019-09-25,2019-09-25,94618.83,On-time,0.0
PAY00058,LN2198,2019-10-25,2019-11-30,97638.49,Late,3108.87
PAY00059,LN2198,2019-11-24,2020-01-08,96642.95,Late,2968.88
PAY00060,LN2198,2019-12-24,2019-12-22,96367.61,On-time,0.0
PAY00061,LN0429,2019-04-22,2019-04-23,65891.34,On-time,0.0
PAY00062,LN0429,2019-05-22,2019-07-05,65170.62,Late,5145.81
PAY00063,LN0429,2019-06-21,2019-07-16,65102.8,Late,2747.05
PAY00064,LN0429,2019-07-21,2019-07-20,66367.54,On-time,0.0
PAY00065,LN0429,2019-08-20,2019-08-22,64424.94,On-time,0.0
PAY00066,LN0429,2019-09-19,2019-10-28,66095.01,Late,694.53
PAY00067,LN3970,2023-02-17,2023-02-16,10416.68,On-time,0.0
PAY00068,LN1926,2023-02-02,2023-01-31,41010.51,On-time,0.0
PAY00069,LN1276,2021-05-22,2021-05-24,10552.05,On-time,0.0
PAY00070,LN1461,2019-04-15,2019-04-13,24784.5,On-time,0.0
PAY00071,LN1461,2019-05-15,2019-05-17,24368.75,On-time,0.0
PAY00072,LN1461,2019-06-14,2019-06-16,24212.4,On-time,0.0
PAY00073,LN1461,2019-07-14,2019-07-12,25077.03,On-time,0.0
PAY00074,LN1461,2019-08-13,2019-08-15,24481.57,On-time,0.0
PAY00075,LN3389,2022-08-03,2022-08-04,72853.52,On-time,0.0
PAY00076,LN3389,2022-09-02,2022-09-02,73649.5,On-time,0.0
PAY00077,LN1287,2020-05-06,2020-05-08,31574.83,On-time,0.0
PAY00078,LN3952,2019-12-03,2019-12-04,16743.97,On-time,0.0
PAY00079,LN0289,2022-04-06,2022-04-03,116810.33,On-time,0.0
PAY00080,LN2905,2024-10-22,2024-12-02,114616.59,Late,9009.19
PAY00081,LN3750,2022-11-24,2022-11-22,4850.79,On-time,0.0
PAY00082,LN3531,2024-10-23,2024-10-21,38478.47,On-time,0.0
PAY00083,LN3531,2024-11-22,2024-11-22,37850.38,On-time,0.0
PAY00084,LN3531,2024-12-22,2024-12-23,37976.53,On-time,0.0
PAY00085,LN2582,2021-03-17,2021-03-18,3217.11,On-time,0.0
PAY00086,LN1860,2021-08-15,2021-08-14,3156.46,On-time,0.0
PAY00087,LN1860,2021-09-14,2021-09-12,3197.63,On-time,0.0
PAY00088,LN1860,2021-10-14,2021-10-12,3159.88,On-time,0.0
PAY00089,LN1860,2021-11-13,2021-11-10,3290.43,On-time,0.0
PAY00090,LN1860,2021-12-13,2021-12-11,3150.55,On-time,0.0
PAY00091,LN1860,2022-01-12,2022-01-10,3227.92,On-time,0.0
PAY00092,LN3968,2019-10-05,2019-10-03,32594.89,On-time,0.0
PAY00093,LN3968,2019-11-04,2019-11-05,32070.58,On-time,0.0
PAY00094,LN3968,2019-12-04,2019-12-05,33399.49,On-time,0.0
PAY00095,LN3968,2020-01-03,2020-01-03,32650.91,On-time,0.0
PAY00096,LN1465,2024-03-20,2024-04-26,63600.46,Late,3263.59
PAY00097,LN1465,2024-04-19,2024-05-06,64570.21,Late,1304.49
PAY00098,LN1465,2024-05-19,2024-05-20,63539.99,On-time,0.0
PAY00099,LN0533,2023-07-26,2023-07-26,72436.15,On-time,0.0
PAY00100,LN0533,2023-08-25,2023-08-24,72625.89,On-time,0.0
PAY00101,LN0533,2023-09-24,2023-09-24,70579.08,On-time,0.0
PAY00102,LN0533,2023-10-24,2023-10-25,72139.31,On-time,0.0
PAY00103,LN0533,2023-11-23,2023-11-21,69952.36,On-time,0.0
PAY00104,LN0533,2023-12-23,2023-12-22,71141.86,On-time,0.0
PAY00105,LN3408,2022-04-18,2022-05-31,31879.59,Late,2080.77
PAY00106,LN3408,2022-05-18,2022-05-20,31201.26,On-time,0.0
PAY00107,LN2744,2022-09-14,2022-10-14,8317.6,Late,207.04
PAY00108,LN2744,2022-10-14,2022-10-14,8328.49,On-time,0.0
PAY00109,LN2744,2022-11-13,2022-11-15,8479.39,On-time,0.0
PAY00110,LN2744,2022-12-13,2022-12-14,8640.18,On-time,0.0
PAY00111,LN2744,2023-01-12,2023-01-10,8610.85,On-time,0.0
PAY00112,LN0476,2019-09-03,2019-09-04,102847.46,On-time,0.0
PAY00113,LN0476,2019-10-03,2019-10-02,106727.76,On-time,0.0
PAY00114,LN0476,2019-11-02,2019-11-01,105607.08,On-time,0.0
PAY00115,LN0476,2019-12-02,2019-12-02,106855.33,On-time,0.0
PAY00116,LN0476,2020-01-01,2020-01-20,106182.68,Late,7412.9
PAY00117,LN0476,2020-01-31,2020-02-11,107615.4,Late,1509.67
PAY00118,LN1529,2020-08-06,2020-11-26,20416.17,Default,2792.25
PAY00119,LN1806,2019-10-25,2019-10-23,70164.32,On-time,0.0
PAY00120,LN1806,2019-11-24,2019-11-23,69396.14,On-time,0.0
PAY00121,LN0207,2023-03-30,2023-03-27,23525.05,On-time,0.0
PAY00122,LN0056,2021-11-25,2021-11-26,7357.18,On-time,0.0
PAY00123,LN1297,2020-01-20,2020-01-20,14572.0,On-time,0.0
PAY00124,LN1297,2020-02-19,2020-02-18,14515.13,On-time,0.0
PAY00125,LN1297,2020-03-20,2020-03-22,14459.89,On-time,0.0
PAY00126,LN1297,2020-04-19,2020-04-19,14517.99,On-time,0.0
PAY00127,LN1297,2020-05-19,2020-05-19,15015.59,On-time,0.0
PAY00128,LN1297,2020-06-18,2020-06-15,14594.65,On-time,0.0
PAY00129,LN2381,2020-12-12,2020-12-09,2388.45,On-time,0.0
PAY00130,LN2381,2021-01-11,2021-01-13,2365.13,On-time,0.0
PAY00131,LN2280,2019-06-22,2019-07-18,3277.67,Late,77.6
PAY00132,LN2280,2019-07-22,2019-07-24,3204.83,On-time,0.0
PAY00133,LN1720,2020-01-01,2019-12-31,3227.32,On-time,0.0
PAY00134,LN3680,2019-05-03,2019-05-03,8595.6,On-time,0.0
PAY00135,LN3680,2019-06-02,2019-06-03,8551.74,On-time,0.0
PAY00136,LN3680,2019-07-02,2019-06-30,8795.19,On-time,0.0
PAY00137,LN3392,2021-10-10,2021-10-07,27689.64,On-time,0.0
PAY00138,LN3392,2021-11-09,2021-11-25,27470.74,Late,2060.46
