loan_id,customer_id,branch_id,loan_type_id,loan_amount,interest_rate,loan_date,tenure_months
LN0001,CUST477,BR017,LT01,450000,11.53,2024-04-19,12
LN0002,CUST701,BR018,LT04,1700000,12.62,2022-11-08,36
LN0003,CUST481,BR015,LT03,757000,11.6,2023-09-21,36
LN0004,CUST984,BR010,LT01,66000,14.43,2022-05-30,60
LN0005,CUST267,BR002,LT03,909000,8.28,2022-04-10,60
LN0006,CUST028,BR010,LT02,2141000,9.3,2022-02-12,180
LN0007,CUST136,BR020,LT01,436000,12.05,2020-04-01,60
LN0008,CUST179,BR019,LT04,3364000,11.86,2020-12-19,84
LN0009,CUST802,BR008,LT02,8194000,9.29,2022-11-05,120
LN0010,CUST991,BR005,LT03,1250000,11.67,2023-08-19,48
LN0011,CUST244,BR015,LT04,1003000,12.28,2022-11-14,36
LN0012,CUST658,BR009,LT04,757000,12.68,2023-06-22,120
LN0013,CUST309,BR016,LT04,3812000,14.94,2023-04-05,120
LN0014,CUST486,BR009,LT01,442000,11.78,2024-01-13,48
LN0015,CUST695,BR011,LT05,70000,19.61,2024-12-16,9
LN0016,CUST980,BR014,LT03,1013000,8.4,2022-01-12,36
LN0017,CUST822,BR004,LT01,313000,13.76,2021-09-17,60
LN0018,CUST789,BR007,LT03,1049000,12.17,2022-07-07,60
LN0019,CUST011,BR001,LT04,257000,12.93,2020-03-01,120
LN0020,CUST360,BR008,LT04,1409000,11.92,2020-01-12,36
LN0021,CUST962,BR020,LT03,1270000,10.27,2020-05-13,12
LN0022,CUST089,BR020,LT01,345000,14.69,2021-01-26,12
LN0023,CUST713,BR006,LT01,260000,14.72,2024-02-01,36
LN0024,CUST788,BR014,LT03,1035000,9.77,2021-11-20,24
LN0025,CUST800,BR003,LT01,78000,12.39,2019-09-04,36
LN0026,CUST979,BR009,LT01,81000,13.08,2021-04-01,60
LN0027,CUST403,BR006,LT03,252000,12.15,2023-11-02,24
LN0028,CUST629,BR004,LT05,73000,17.1,2019-10-26,3
LN0029,CUST586,BR009,LT04,290000,12.48,2019-01-04,36
LN0030,CUST681,BR013,LT01,365000,13.91,2019-01-16,60
LN0031,CUST725,BR016,LT02,4635000,9.79,2019-10-15,240
LN0032,CUST232,BR001,LT02,7203000,8.49,2020-05-11,240
LN0033,CUST549,BR012,LT02,3725000,8.85,2020-01-07,180
LN0034,CUST548,BR011,LT01,257000,13.9,2021-04-11,24
LN0035,CUST568,BR002,LT05,68000,20.71,2023-05-17,3
LN0036,CUST646,BR012,LT02,8967000,10.93,2021-02-15,120
LN0037,CUST037,BR007,LT01,498000,13.48,2023-05-12,12
LN0038,CUST812,BR018,LT03,800000,11.69,2024-01-15,12
LN0039,CUST038,BR011,LT01,405000,14.6,2020-04-29,24
LN0040,CUST827,BR017,LT02,7103000,11.49,2020-09-02,240
LN0041,CUST594,BR008,LT05,9000,19.07,2019-03-20,12
LN0042,CUST929,BR020,LT01,366000,13.56,2020-12-06,12
LN0043,CUST927,BR010,LT04,667000,14.03,2019-09-19,36
LN0044,CUST117,BR016,LT03,962000,11.65,2021-04-10,48
LN0045,CUST346,BR013,LT02,9783000,9.71,2020-07-16,180
LN0046,CUST857,BR007,LT04,3047000,14.36,2020-05-09,84
LN0047,CUST145,BR014,LT01,216000,14.24,2021-09-24,60
LN0048,CUST042,BR005,LT01,431000,12.47,2020-10-08,12
LN0049,CUST901,BR016,LT01,53000,14.58,2022-03-08,48
LN0050,CUST711,BR016,LT03,389000,11.84,2024-11-12,48
LN0051,CUST422,BR008,LT05,63000,21.35,2021-01-07,12
LN0052,CUST627,BR003,LT03,1196000,11.23,2019-01-19,60
LN0053,CUST242,BR007,LT01,289000,13.13,2023-01-22,60
LN0054,CUST520,BR008,LT02,6638000,10.56,2019-08-06,120
LN0055,CUST116,BR005,LT03,1456000,9.51,2020-12-23,24
LN0056,CUST687,BR002,LT01,214000,13.32,2021-10-26,36
LN0057,CUST632,BR015,LT01,383000,15.37,2020-12-21,24
LN0058,CUST805,BR001,LT02,2045000,9.83,2023-12-27,240
LN0059,CUST594,BR011,LT02,7724000,9.33,2021-07-31,120
LN0060,CUST334,BR008,LT01,382000,15.43,2023-03-19,24
LN0061,CUST076,BR016,LT03,176000,11.79,2021-06-04,60
LN0062,CUST466,BR006,LT02,2228000,10.85,2023-01-08,180
LN0063,CUST208,BR011,LT01,361000,13.67,2020-07-13,12
LN0064,CUST873,BR015,LT02,2541000,8.59,2022-04-23,240
LN0065,CUST161,BR020,LT05,60000,18.49,2021-07-29,3
LN0066,CUST422,BR017,LT02,9961000,11.4,2024-03-10,180
LN0067,CUST015,BR014,LT04,1384000,11.3,2021-06-29,60
LN0068,CUST936,BR019,LT05,45000,18.85,2024-04-11,3
LN0069,CUST436,BR017,LT02,8287000,10.8,2020-02-06,180
LN0070,CUST508,BR008,LT01,389000,13.68,2023-07-24,24
LN0071,CUST136,BR012,LT01,341000,12.13,2024-05-19,36
LN0072,CUST166,BR015,LT05,76000,20.2,2024-02-07,12
LN0073,CUST791,BR005,LT05,44000,20.0,2023-02-26,12
LN0074,CUST721,BR001,LT05,12000,19.93,2022-09-25,3
LN0075,CUST304,BR014,LT04,3551000,14.18,2021-04-28,36
LN0076,CUST636,BR011,LT04,463000,15.03,2023-01-30,36
LN0077,CUST114,BR013,LT02,6572000,9.13,2020-12-18,240
LN0078,CUST573,BR003,LT03,1183000,12.17,2022-10-03,24
LN0079,CUST553,BR004,LT03,1132000,12.54,2021-05-09,24
LN0080,CUST329,BR012,LT05,53000,18.13,2019-08-12,3
LN0081,CUST382,BR012,LT02,5513000,10.96,2024-04-09,240
LN0082,CUST545,BR018,LT05,48000,20.02,2019-09-26,6
LN0083,CUST914,BR015,LT01,226000,14.05,2019-11-12,12
LN0084,CUST169,BR009,LT01,117000,14.27,2021-04-16,60
LN0085,CUST975,BR001,LT01,486000,14.11,2020-06-24,48
LN0086,CUST356,BR014,LT02,6802000,9.03,2019-09-15,120
LN0087,CUST893,BR008,LT04,2694000,13.05,2022-11-05,84
LN0088,CUST498,BR019,LT03,842000,12.88,2024-02-19,36
LN0089,CUST581,BR005,LT05,34000,19.94,2021-07-17,12
LN0090,CUST381,BR010,LT04,427000,12.39,2024-02-11,60
LN0091,CUST634,BR006,LT04,1569000,14.16,2020-09-20,60
LN0092,CUST244,BR004,LT01,192000,12.83,2021-12-02,36
LN0093,CUST189,BR007,LT03,149000,8.94,2022-11-09,24
LN0094,CUST382,BR015,LT03,328000,11.93,2019-04-13,48
LN0095,CUST954,BR016,LT04,4749000,13.18,2020-10-01,36
LN0096,CUST994,BR018,LT05,36000,21.04,2024-04-25,9
LN0097,CUST993,BR019,LT03,1219000,11.9,2023-12-16,36
LN0098,CUST706,BR004,LT04,4521000,13.06,2020-04-23,84
LN0099,CUST026,BR013,LT03,409000,9.61,2022-08-29,12
LN0100,CUST623,BR007,LT03,411000,11.46,2022-02-12,24
LN0101,CUST024,BR003,LT03,724000,11.87,2019-12-24,60
LN0102,CUST404,BR007,LT02,6429000,8.47,2019-08-18,240
